film,budget,box_office_us_canada,box_office_other,box_office_worldwide,Net profit,Profitability Ratio
Toy Story,30000000,223225679,171210907,394436586,364436586,13.1478862
A Bug's Life,120000000,162798565,200460294,363258859,243258859,3.027157158
Toy Story 2,90000000,245852179,265506097,511358276,421358276,5.681758622
"Monsters, Inc.",115000000,255873250,272900000,528773250,413773250,4.598028261
Finding Nemo,94000000,339714978,531300000,871014978,777014978,9.266116787
The Incredibles,92000000,261441092,370001000,631442092,539442092,6.863501
Cars,120000000,244082982,217900167,461983149,341983149,3.849859575
Ratatouille,150000000,206445654,417280431,623726085,473726085,4.1581739
WALL-E,180000000,223808164,297503696,521311860,341311860,2.896177
Up,175000000,293004164,442094918,735099082,560099082,4.200566183
Toy Story 3,200000000,415004880,651964823,1066969703,866969703,5.334848515
Cars 2,200000000,191452396,368400000,559852396,359852396,2.79926198
Brave,185000000,237283207,301700000,538983207,353983207,2.913422741
Monsters University,200000000,268492764,475066843,743559607,543559607,3.717798035
Inside Out,175000000,356461711,501149463,857611174,682611174,4.90063528
The Good Dinosaur,175000000,123087120,209120551,332207671,157207671,1.898329549
Finding Dory,200000000,486295561,542275328,1028570889,828570889,5.142854445
Cars 3,175000000,152901115,231029541,383930656,208930656,2.193889463
Coco,175000000,210460015,604181157,814641172,639641172,4.655092411
Incredibles 2,200000000,608581744,634223615,1242805359,1042805359,6.214026795
Toy Story 4,200000000,434038008,639356585,1073394593,873394593,5.366972965
Onward,175000000,61555145,80384897,141940042,-33059958,0.811085954
Soul,150000000,946154,120957731,121903885,-28096115,0.812692567
Luca,NA,1324302,49788012,51112314,#VALUE!,#VALUE!
Turning Red,175000000,1399001,20414357,21813358,-153186642,0.12464776
Lightyear,200000000,118307188,108118232,226425420,26425420,1.1321271
Elemental,200000000,154426697,342017611,496444308,296444308,2.48222154
Inside Out 2,200000000,652980194,1045050771,1698030965,1498030965,8.490154825
